Name,Price ($CAD),Wish Price (%CAD),Date
Solo Pro,379.95,350.0,2020-06-22 11:12:32.562657
Beats Studio3 Wireless,399.95,375.0,2020-06-22 11:12:32.562683
Beats EP,129.95,100.0,2020-06-22 11:12:32.562689
Beats Pro,439.95,400.0,2020-06-22 11:12:32.562692

Solo Pro,379.95,350.0,2020-07-22 11:43:30.717046
Beats Studio3 Wireless,399.95,375.0,2020-07-22 11:43:30.717087
Beats EP,129.95,100.0,2020-07-22 11:43:30.717096
Beats Pro,439.95,400.0,2020-07-22 11:43:30.717103

Solo Pro,379.95,350.0,2020-08-22 12:14:37.011205
Beats Studio3 Wireless,399.95,375.0,2020-08-22 12:14:37.011241
Beats EP,129.95,100.0,2020-08-22 12:14:37.011246
Beats Pro,439.95,400.0,2020-08-22 12:14:37.011250
